Mozilla/5.0 (X11; Zorin OS; Linux x86_64; rv:123.0) Gecko/20100101 Firefox/123.0
Mozilla/5.0 (X11; Zorin OS; Linux x86_64; rv:130.0) Gecko/20100101 Firefox/130.0
Mozilla/5.0 (X11; Zorin OS; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0
Mozilla/5.0 (X11; Zorin OS; Linux x86_64; rv:108.0) Gecko/20100101 Firefox/108.0
Mozilla/5.0 (X11; Zorin OS; Linux x86_64; rv:129.0) Gecko/20100101 Firefox/129.0
Mozilla/5.0 (X11; Zorin OS; Linux x86_64; rv:127.0) Gecko/20100101 Firefox/127.0
Mozilla/5.0 (X11; Zorin OS; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0
Mozilla/5.0 (X11; Zorin OS; Linux x86_64; rv:100.0) Gecko/20100101 Firefox/100.0
Mozilla/5.0 (X11; Zorin OS; Linux x86_64; rv:126.0) Gecko/20100101 Firefox/126.0
Mozilla/5.0 (X11; Zorin OS; Linux x86_64; rv:119.0) Gecko/20100101 Firefox/119.0
Mozilla/5.0 (X11; Zorin OS; Linux x86_64; rv:122.0) Gecko/20100101 Firefox/122.0
Mozilla/5.0 (X11; Zorin OS; Linux x86_64; rv:117.0) Gecko/20100101 Firefox/117.0
Mozilla/5.0 (X11; Zorin OS; Linux x86_64; rv:111.0) Gecko/20100101 Firefox/111.0
Mozilla/5.0 (X11; Zorin OS; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0
Mozilla/5.0 (X11; Zorin OS; Linux x86_64; rv:114.0) Gecko/20100101 Firefox/114.0
Mozilla/5.0 (X11; Zorin OS; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
Mozilla/5.0 (X11; Zorin OS; Linux x86_64; rv:125.0) Gecko/20100101 Firefox/125.0
Mozilla/5.0 (X11; Zorin OS; Linux x86_64; rv:104.0) Gecko/20100101 Firefox/104.0
Mozilla/5.0 (X11; Zorin OS; Linux x86_64; rv:121.0) Gecko/20100101 Firefox/121.0
Mozilla/5.0 (X11; Zorin OS; Linux x86_64; rv:107.0) Gecko/20100101 Firefox/107.0
