Mozilla/5.0 (X11; Linux Mint; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0
Mozilla/5.0 (X11; Linux Mint; Linux x86_64; rv:127.0) Gecko/20100101 Firefox/127.0
Mozilla/5.0 (X11; Linux Mint; Linux x86_64; rv:130.0) Gecko/20100101 Firefox/130.0
Mozilla/5.0 (X11; Linux Mint; Linux x86_64; rv:129.0) Gecko/20100101 Firefox/129.0
Mozilla/5.0 (X11; Linux Mint; Linux x86_64; rv:125.0) Gecko/20100101 Firefox/125.0
Mozilla/5.0 (X11; Linux Mint; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
Mozilla/5.0 (X11; Linux Mint; Linux x86_64; rv:126.0) Gecko/20100101 Firefox/126.0
Mozilla/5.0 (X11; Linux Mint; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0
Mozilla/5.0 (X11; Linux Mint; Linux x86_64; rv:122.0) Gecko/20100101 Firefox/122.0
Mozilla/5.0 (X11; Linux Mint; Linux x86_64; rv:121.0) Gecko/20100101 Firefox/121.0
Mozilla/5.0 (X11; Linux Mint; Linux x86_64; rv:123.0) Gecko/20100101 Firefox/123.0
