Mozilla/5.0 (X11; Garuda; Linux x86_64; rv:130.0) Gecko/20100101 Firefox/130.0
Mozilla/5.0 (X11; Garuda; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0
Mozilla/5.0 (X11; Garuda; Linux x86_64; rv:129.0) Gecko/20100101 Firefox/129.0
Mozilla/5.0 (X11; Garuda; Linux x86_64; rv:113.0) Gecko/20100101 Firefox/113.0
Mozilla/5.0 (X11; Garuda; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0
Mozilla/5.0 (X11; Garuda; Linux x86_64; rv:108.0) Gecko/20100101 Firefox/108.0
Mozilla/5.0 (X11; Garuda; Linux x86_64; rv:102.0) Gecko/20100101 Firefox/102.0
Mozilla/5.0 (X11; Garuda; Linux x86_64; rv:114.0) Gecko/20100101 Firefox/114.0
Mozilla/5.0 (X11; Garuda; Linux x86_64; rv:122.0) Gecko/20100101 Firefox/122.0
Mozilla/5.0 (X11; Garuda; Linux x86_64; rv:121.0) Gecko/20100101 Firefox/121.0
Mozilla/5.0 (X11; Garuda; Linux x86_64; rv:127.0) Gecko/20100101 Firefox/127.0
Mozilla/5.0 (X11; Garuda; Linux x86_64; rv:126.0) Gecko/20100101 Firefox/126.0
Mozilla/5.0 (X11; Garuda; Linux x86_64; rv:123.0) Gecko/20100101 Firefox/123.0
Mozilla/5.0 (X11; Garuda; Linux x86_64; rv:112.0) Gecko/20100101 Firefox/112.0
Mozilla/5.0 (X11; Garuda; Linux x86_64; rv:125.0) Gecko/20100101 Firefox/125.0
Mozilla/5.0 (X11; Garuda; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
Mozilla/5.0 (X11; Garuda; Linux x86_64; rv:115.0) Gecko/20100101 Firefox/115.0
Mozilla/5.0 (X11; Garuda; Linux x86_64; rv:101.0) Gecko/20100101 Firefox/101.0
Mozilla/5.0 (X11; Garuda; Linux x86_64; rv:105.0) Gecko/20100101 Firefox/105.0
Mozilla/5.0 (X11; Garuda; Linux x86_64; rv:111.0) Gecko/20100101 Firefox/111.0
